month,PPT,TAVG
1,-9996.3,-305.35806451612905
2,70.4,18.362068965517242
3,14.4,23.07741935483871
4,15.299999999999999,26.096666666666668
5,60.300000000000004,27.57741935483871
6,9.200000000000001,30.15
7,10.1,30.683870967741935
8,28.4,31.106451612903225
9,32.6,28.853333333333335
10,5.1000000000000005,25.88064516129032
11,23.1,21.336666666666666
12,1.9,18.848387096774193
